Post_Date,Check,Description,Debit,Credit,Status,Balance,Classification
2021-10-18,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,45.96,Posted,8172.7,Income
2021-10-18,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,25.76,Posted,8126.74,Income
2021-10-16,,KICKSITE 913-681-9949 KS Date 10/16/21 24055221289200832505246 Card 5089,149,,Posted,8100.98,Charity
2021-10-16,,UNITED STATES JUDO ASSOCI 877-4113409 NY Date 10/15/21 24118591289014973507668 Card 5089,60,,Posted,8249.98,Uncategorized
2021-10-16,,UNITED STATES JUDO ASSOCI 877-4113409 NY Date 10/15/21 24118591289014973507593 Card 5089,35,,Posted,8309.98,Uncategorized
2021-10-16,,UNITED STATES JUDO ASSOCI 877-4113409 NY Date 10/15/21 24118591289014973507601 Card 5089,35,,Posted,8344.98,Uncategorized
2021-10-16,,SPOTIFY 877-778-1161 NY Card 5089,10.84,,Posted,8379.98,Music
2021-10-16,,ABC*Anytime Fitness 888-8279262 CO Card 5089,22,,Posted,8390.82,Gym
2021-10-15,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,275.13,Posted,8412.82,Income
2021-10-14,,TYPE: PURCHASE ID: 9000098054 CO: City of Lafayett,62.99,,Posted,8137.69,Utilities
2021-10-14,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,589.3,Posted,8200.68,Income
2021-10-13,,TYPE: XCELENERGY ID: 5840296600 CO: XCEL ENERGY-PSCO,427.38,,Posted,7611.38,Utilities
2021-10-13,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,138.32,Posted,8038.76,Income
2021-10-13,,ABC*Anytime Fitness 888-8279262 CO Card 5089,45,,Posted,7900.44,Gym
2021-10-12,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,1.04,,Posted,7945.44,Uncategorized
2021-10-12,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,559.57,Posted,7946.48,Income
2021-10-12,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,456.65,Posted,7386.91,Income
2021-10-12,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,429,Posted,6930.26,Uncategorized
2021-10-12,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,123.38,Posted,6501.26,Income
2021-10-12,,THE BOLD LOOK USA LLC 800-230-2653 FL Date 10/11/21 24493981284200354500355 Card 5089,67.21,,Posted,6377.88,Uncategorized
2021-10-10,,SMORE.COM WWW.SMORE.COM PA Card 5089,29,,Posted,6445.09,Electronics &amp; Software
2021-10-08,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,138.84,Posted,6474.09,Income
2021-10-08,,CEN*CENTURY MA 800-626-2787 OK Date 10/08/21 24692161281100553231920 Card 5089,18.39,,Posted,6335.25,Shopping
2021-10-07,,TYPE: Rent ID: 116943300A CO: Amterre Lincoln,5737.43,,Posted,6353.64,Transfer
2021-10-07,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,2.09,,Posted,12091.07,Uncategorized
2021-10-07,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,707,Posted,12093.16,Uncategorized
2021-10-07,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,35.79,Posted,11386.16,Income
2021-10-06,,CEN*CENTURY MA 800-626-2787 OK Date 10/06/21 24692161279100056191633 Card 5089,129.56,,Posted,11350.37,Shopping
2021-10-06,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,679.79,Posted,11479.93,Income
2021-10-05,,TYPE: BILLNG ID: 7300604847 CO: VANTIV_INTG_PYMT,235.33,,Posted,10800.14,Home
2021-10-05,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,146.84,Posted,11035.47,Income
2021-10-05,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,130,Posted,10888.63,Uncategorized
2021-10-05,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,30,Posted,10758.63,Income
2021-10-04,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,99.78,,Posted,10728.63,Uncategorized
2021-10-04,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,1124.54,Posted,10828.41,Income
2021-10-04,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,425,Posted,9703.87,Income
2021-10-04,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,130.5,Posted,9278.87,Uncategorized
2021-10-01,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,1.04,,Posted,9148.37,Uncategorized
2021-10-01,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,155,Posted,9149.41,Uncategorized
2021-10-01,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,21.69,Posted,8994.41,Income
2021-10-01,,CALENDLY HTTPSCALENDLY GA Date 10/01/21 24011341274000016254843 Card 5089,15,,Posted,8972.72,Electronics &amp; Software
2021-09-30,,Withdrawal Acct Svc Charge,10,,Posted,8987.72,Uncategorized
2021-09-30,,ASIAN WORLD OF MARTIAL AR 800-3452962 PA Date 09/29/21 24639231273900014300496 Card 5089,232.63,,Posted,8997.72,Food &amp; Dining
2021-09-30,,TYPE: QUICKBOOKS ID: 1722616679 CO: INTUIT PAYROLL S,7076.94,,Posted,9230.35,Business Services
2021-09-30,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,137.27,Posted,16307.29,Income
2021-09-29,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,976.09,Posted,16170.02,Income
2021-09-29,,CORALTREE-QBOX 408-448-7269 CA Date 09/29/21 24492151272743935499758 Card 5089,12,,Posted,15193.93,Charity
2021-09-28,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,419.73,Posted,15205.93,Income
2021-09-28,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,88.94,Posted,14786.2,Income
2021-09-27,,CANVA* I03191-21372308 HTTPSCANVA.CO DE Card 5089,12.99,,Posted,14697.26,Shopping
2021-09-27,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,1.04,,Posted,14710.25,Uncategorized
2021-09-27,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,435.14,Posted,14711.29,Income
2021-09-27,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,270.23,Posted,14276.15,Income
2021-09-27,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,130.17,Posted,14005.92,Income
2021-09-27,,MASTERLINE CO. 562-944-0036 CA Date 09/23/21 24388961269030046364186 Card 5089,300.39,,Posted,13875.75,Travel
2021-09-26,,ZOOM.US 888-799-9666 WWW.ZOOM.US CA Date 09/26/21 24011341269000046843497 Card 5089,32.53,,Posted,14176.14,Business Services
2021-09-24,,VISA INTERNATIONAL SERVICE ASSESSMENT Date 09/23/21 Card 5089,0.47,,Posted,14208.67,Uncategorized
2021-09-24,,LAWDEPOT COM 877-5094398 CA Date 09/23/21 74924271267132679573679 Card 5089,59,,Posted,14209.14,Legal
2021-09-24,,COMCAST CABLE COMM 800-COMCAST CO Card 5089,190.4,,Posted,14268.14,Utilities
2021-09-24,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,438.51,Posted,14458.54,Income
2021-09-24,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,267.58,Posted,14020.03,Income
2021-09-23,,SP * HANDMADESWORD.COM HTTPSHANDMADE CA Date 09/23/21 24492161267000001759334 Card 5089,148.99,,Posted,13752.45,Uncategorized
2021-09-23,,TYPE: PAYMENT ID: CITICARDAP CO: CITI AUTOPAY,291.76,,Posted,13901.44,Credit Card Payment
2021-09-23,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,0.52,,Posted,14193.2,Uncategorized
2021-09-23,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,387.66,Posted,14193.72,Income
2021-09-23,,CEN*CENTURY MA 800-626-2787 OK Date 09/23/21 24692161266100879253342 Card 5089,217.99,,Posted,13806.06,Shopping
2021-09-22,,DRI*AVG TECHNOLOGIES www.avg.com MN Card 5089,69.99,,Posted,14024.05,Electronics &amp; Software
2021-09-22,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,18.25,,Posted,14094.04,Uncategorized
2021-09-21,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,630,Posted,14112.29,Uncategorized
2021-09-21,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,554.79,Posted,13482.29,Income
2021-09-21,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,522.79,Posted,12927.5,Income
2021-09-21,,ABC*Anytime Fitness 888-8279262 CO Card 5089,32.3,,Posted,12404.71,Gym
2021-09-20,,TYPE: TaxPaymnt ID: T846000537 CO: Dept. of Revenue,162.18,,Posted,12437.01,State Tax
2021-09-20,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,0.52,,Posted,12599.19,Uncategorized
2021-09-20,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,447,Posted,12599.71,Uncategorized
2021-09-20,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,435.14,Posted,12152.71,Income
2021-09-20,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,166.73,Posted,11717.57,Income
2021-09-20,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,138.84,Posted,11550.84,Income
2021-09-20,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,25.76,Posted,11412,Income
2021-09-20,,MASTERLINE CO. 562-944-0036 CA Date 09/16/21 24388961262030046436544 Card 5089,200.9,,Posted,11386.24,Travel
2021-09-17,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,4.7,,Posted,11587.14,Uncategorized
2021-09-17,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,220,Posted,11591.84,Uncategorized
2021-09-17,,TYPE: COMB. DEP. ID: 7300604847 CO: 5/3 BANKCARD SYS,,181.92,Posted,11371.84,Income
2021-09-17,,CEN*CENTURY MA 800-626-2787 OK Date 09/17/21 24692161260100343250920 Card 5089,36.08,,Posted,11189.92,Shopping
2021-09-16,,KICKSITE 913-681-9949 KS Date 09/16/21 24055221259200832505382 Card 5089,149,,Posted,11226,Charity
2021-09-16,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,952.19,Posted,11375,Income
2021-09-16,,CEN*CENTURY MA 800-626-2787 OK Date 09/16/21 24692161259100563923878 Card 5089,76.86,,Posted,10422.81,Shopping
2021-09-15,,TYPE: USATAXPYMT ID: 3387702000 CO: IRS,2545.65,,Posted,10499.67,Federal Tax
2021-09-15,,TYPE: TaxPaymnt ID: T846000537 CO: Dept. of Revenue,393,,Posted,13045.32,State Tax
2021-09-15,,TYPE: USATAXPYMT ID: 3387702000 CO: IRS,230.96,,Posted,13438.32,Federal Tax
2021-09-15,,TYPE: TaxPaymnt ID: T846000537 CO: Dept. of Revenue,3,,Posted,13669.28,State Tax
2021-09-15,,TYPE: Settlement ID: 9000904746 CO: VISION QUEST MAR,,320,Posted,13672.28,Uncategorized
2021-09-15,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,289.08,Posted,13352.28,Income
2021-09-15,,SPOTIFY 877-778-1161 NY Card 5089,10.84,,Posted,13063.2,Music
2021-09-14,,MASTERLINE CO. 562-944-0036 CA Date 09/13/21 24388961257030021783354 Card 5089,225.95,,Posted,13074.04,Travel
2021-09-14,,Intuit *Payroll 833-830-9255 CA Date 09/14/21 24692161257100272339293 Card 5089,650,,Posted,13299.99,Business Services
2021-09-14,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,721.48,Posted,13949.99,Income
2021-09-13,2485,Check 2485,284.44,,Posted,13228.51,Check
2021-09-13,,TYPE: XCELENERGY ID: 5840296600 CO: XCEL ENERGY-PSCO,573.3,,Posted,13512.95,Utilities
2021-09-13,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,1.04,,Posted,14086.25,Uncategorized
2021-09-13,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,282.42,Posted,14087.29,Income
2021-09-13,,TYPE: DEPOSIT ID: C592126793 CO: MERCHANT BANKCD,,141.19,Posted,13804.87,Income
2021-09-13,,ABC*Anytime Fitness 888-8279262 CO Card 5089,45,,Posted,13663.68,Gym
2021-09-13,,MASTERLINE CO. 562-944-0036 CA Date 09/10/21 24388961255030045527227 Card 5089,93.45,,Posted,13708.68,Travel
2021-09-12,,ASIAN WORLD OF MARTIAL AR 800-3452962 PA Date 09/10/21 24639231255900012400910 Card 5089,410.37,,Posted,13802.13,Food &amp; Dining
2021-09-11,,CEN*CENTURY MA 800-626-2787 OK Date 09/11/21 24692161254100239066743 Card 5089,280.84,,Posted,14212.5,Shopping
